review_id,number_of_reviews,last_review,reviews_per_month
543,25,4/30/2018,0.26
544,105,5/11/2019,1.62
9596,1,12/20/2015,0.02
546,8,9/18/2016,0.08
551,123,6/11/2019,1.29
553,87,7/3/2019,0.99
555,4,8/27/2018,0.18
556,31,5/26/2019,0.33
557,128,11/15/2016,1.34
2270,72,5/28/2016,0.97
558,14,8/31/2015,0.15
559,30,6/24/2019,0.32
794,21,6/24/2019,0.23
562,60,7/1/2019,0.65
564,179,6/19/2019,1.88
565,9,6/23/2016,0.1
571,45,4/22/2019,0.47
572,7,11/14/2018,0.08
574,24,1/19/2019,0.26
576,29,6/3/2015,0.31
577,14,7/20/2015,0.15
581,142,6/16/2019,1.5
583,22,3/15/2019,0.23
586,32,5/8/2019,0.34
587,24,6/23/2019,0.25
590,18,7/5/2018,0.21
591,3,12/26/2018,0.03
595,76,6/13/2019,0.8
596,116,6/30/2019,1.23
1086,108,7/2/2019,1.25
598,120,6/24/2019,1.27
599,82,5/18/2019,0.87
600,13,5/26/2019,0.15
602,63,6/26/2019,1.87
605,1,1/2/2012,0.01
606,35,6/9/2019,0.4
611,305,6/27/2019,3.24
612,102,6/18/2019,1.52
613,83,5/31/2019,0.88
616,89,6/30/2019,0.94
618,40,6/16/2019,0.44
620,136,6/19/2019,1.45
621,100,5/28/2018,1.06
622,125,7/6/2019,1.36
2482,114,7/5/2019,1.59
4261,110,7/5/2019,1.74
623,40,4/14/2019,0.5
625,139,4/28/2019,1.59
962,128,6/11/2019,1.46
3051,104,4/6/2019,1.51
627,2,10/6/2014,0.03
628,49,6/26/2019,0.53
629,8,5/18/2018,0.11
632,5,12/19/2018,0.12
635,8,1/3/2019,0.33
636,37,1/2/2019,0.39
638,24,1/1/2019,0.29
639,5,7/9/2017,0.05
640,242,4/1/2019,2.59
643,181,6/5/2019,1.92
644,34,7/1/2019,0.39
646,5,8/17/2015,0.06
647,60,6/25/2019,0.64
1363,48,6/23/2019,0.58
648,238,6/23/2019,2.59
650,131,6/24/2019,1.4
710,153,6/25/2019,1.66
754,28,9/25/2018,0.31
14058,4,5/24/2019,0.12
651,6,6/28/2017,0.16
654,125,7/7/2019,3.04
656,49,12/3/2014,0.58
659,107,5/23/2019,1.15
663,49,8/9/2018,0.53
8935,6,8/25/2017,0.13
668,16,6/28/2019,0.23
681,2,1/13/2014,0.03
682,178,6/24/2019,2.69
684,190,6/23/2019,2.04
685,25,6/30/2019,0.27
686,81,5/31/2019,0.98
687,7,6/22/2019,0.08
689,31,1/28/2019,0.33
692,233,4/10/2019,2.5
693,135,6/24/2019,1.45
695,46,6/2/2019,0.5
697,21,5/22/2019,0.26
699,8,5/19/2019,0.09
1603,1,11/1/2015,0.02
701,314,7/1/2019,3.45
45219,4,7/2/2019,2.55
702,18,6/18/2019,0.25
703,11,5/27/2015,0.12
706,8,12/30/2017,0.12
707,59,6/6/2019,0.63
708,54,6/24/2019,0.62
711,110,6/2/2019,1.2
713,1,1/27/2019,0.18
24303,8,1/1/2018,0.35
715,129,4/28/2019,1.41
719,8,1/8/2015,0.09
720,11,11/1/2015,0.12
721,5,7/5/2018,0.09
723,36,3/19/2019,0.39
724,16,3/31/2019,0.17
861,18,6/7/2019,0.2
1298,18,5/27/2019,0.22
37903,1,4/12/2019,0.34
725,5,7/12/2018,0.12
727,68,6/3/2019,0.77
728,89,6/30/2018,0.99
734,35,5/27/2019,0.42
735,1,9/24/2013,0.01
736,64,6/2/2019,0.7
3610,1,12/28/2018,0.16
742,24,6/27/2019,0.26
745,115,6/12/2019,1.25
748,5,12/31/2018,0.08
749,203,6/20/2019,2.22
750,49,10/27/2018,0.53
752,7,6/18/2017,0.08
757,115,6/25/2019,1.75
7479,3,8/13/2016,0.06
758,6,6/24/2019,0.13
759,1,8/31/2014,0.02
760,204,6/30/2019,2.31
761,89,6/23/2019,0.97
764,52,5/13/2019,0.6
765,58,12/29/2017,0.63
768,7,4/21/2013,0.08
770,2,4/10/2018,0.06
771,122,7/2/2019,1.37
773,26,10/31/2014,0.28
774,1,10/2/2012,0.01
775,14,6/19/2019,0.16
777,3,7/30/2017,0.05
778,107,5/18/2019,1.17
780,69,6/21/2019,0.76
783,24,8/10/2018,0.26
785,5,8/3/2016,0.06
4032,99,1/9/2019,1.57
786,10,4/21/2019,0.23
788,94,6/19/2019,1.1
790,63,8/3/2018,0.71
792,238,7/2/2019,2.6
795,72,7/31/2018,0.82
796,40,6/23/2019,0.68
797,103,8/1/2017,1.13
798,66,5/1/2019,0.72
817,54,6/11/2019,0.66
799,35,6/27/2019,0.4
800,121,7/1/2019,1.33
801,15,8/29/2018,0.19
802,13,9/5/2016,0.18
803,129,5/11/2019,1.42
804,157,8/11/2016,1.71
805,8,11/26/2016,0.11
807,46,6/23/2019,0.52
808,37,2/16/2019,0.41
809,14,6/25/2019,0.16
810,37,4/15/2018,0.45
811,1,8/30/2016,0.03
813,4,9/12/2018,0.07
819,7,4/18/2017,0.08
821,88,6/7/2019,0.99
825,11,6/23/2019,0.16
830,73,6/19/2019,0.89
831,36,5/1/2019,0.47
2197,173,6/6/2019,2.34
839,23,11/8/2016,0.25
843,152,6/23/2019,1.69
844,119,6/30/2019,1.39
7085,1,5/3/2016,0.03
845,9,4/2/2018,0.1
848,12,3/26/2016,0.14
849,51,5/4/2019,0.57
851,11,6/9/2019,0.13
852,236,6/18/2019,2.74
16655,97,6/24/2019,2.65
862,1,4/21/2013,0.01
866,13,4/23/2019,0.34
7563,17,5/25/2019,0.34
7898,12,10/6/2017,0.24
7956,8,5/10/2019,0.17
7976,13,5/4/2019,0.27
9330,10,10/3/2018,0.23
11142,7,8/8/2018,0.19
14238,10,8/12/2018,0.28
869,65,7/1/2019,0.73
870,62,1/2/2019,0.71
872,42,6/20/2019,0.48
876,25,3/31/2019,0.28
877,215,6/30/2019,2.42
878,26,6/24/2017,0.73
879,18,1/2/2018,0.21
880,18,12/31/2018,0.21
881,320,7/7/2019,3.6
884,64,8/3/2018,0.72
887,25,12/22/2018,0.29
889,32,6/23/2019,0.47
891,1,11/16/2015,0.02
892,12,6/30/2019,0.14
893,19,6/11/2019,0.27
894,297,6/24/2019,3.37
895,12,7/7/2019,0.13
896,9,1/2/2017,0.11
897,9,5/14/2016,0.1
6246,7,4/30/2019,0.13
901,53,5/3/2019,0.6
903,64,5/11/2019,0.72
904,51,4/27/2019,0.58
905,79,4/29/2019,0.88
2256,19,12/27/2018,0.31
907,23,12/31/2018,0.63
909,36,8/23/2015,0.45
911,24,9/21/2017,0.27
2200,31,1/4/2018,0.43
917,19,7/13/2016,0.22
919,53,10/28/2014,0.6
922,8,1/2/2018,0.1
923,46,6/19/2018,0.52
924,6,11/4/2018,0.08
925,75,7/1/2019,0.86
26602,1,5/19/2019,0.59
32644,1,5/4/2019,0.45
928,132,6/23/2019,1.49
929,41,6/7/2019,0.47
931,34,6/9/2014,0.39
932,27,3/1/2019,0.31
960,70,6/3/2019,0.8
939,1,9/4/2014,0.02
3942,46,2/18/2019,0.72
40656,4,5/19/2019,0.99
943,58,7/1/2019,0.66
944,5,10/12/2015,0.1
1248,33,4/7/2019,0.44
946,268,7/2/2019,3.04
1646,227,7/3/2019,2.79
948,22,4/14/2017,0.25
949,13,6/17/2019,0.15
951,3,12/4/2018,0.08
956,47,7/3/2019,1.22
959,116,1/3/2016,1.32
965,106,6/24/2019,1.22
968,27,5/25/2019,0.31
973,38,5/16/2019,0.44
975,93,11/17/2015,1.05
977,30,12/4/2016,0.34
978,17,7/5/2019,0.46
980,53,6/30/2017,0.68
981,32,10/11/2016,0.37
982,131,6/23/2019,1.84
2208,55,6/2/2019,0.73
983,19,5/21/2019,0.22
987,16,1/2/2019,0.18
989,243,6/24/2019,2.75
990,59,7/1/2019,0.94
991,134,6/22/2019,1.53
992,81,7/3/2019,0.93
993,7,10/22/2016,0.08
996,92,6/9/2019,1.05
997,23,2/14/2019,0.26
14418,7,1/13/2019,0.19
999,8,9/18/2016,0.1
1000,244,7/1/2019,2.81
1002,125,7/2/2019,1.47
2414,33,12/8/2017,0.46
6014,11,3/4/2019,0.2
1003,58,6/1/2019,0.67
4632,36,6/15/2019,0.63
1004,9,9/3/2018,0.1
1006,16,5/9/2019,0.24
1007,36,9/26/2018,0.57
1008,54,3/24/2019,0.65
4893,19,5/5/2019,0.36
7969,15,5/19/2019,0.34
33886,2,11/18/2018,0.22
1009,1,5/31/2016,0.03
1010,39,3/13/2019,0.47
1013,206,6/30/2019,2.4
1014,4,5/4/2019,0.22
1015,37,10/30/2016,0.52
1192,10,5/26/2019,0.17
1017,18,5/21/2016,0.21
1019,197,6/20/2019,2.25
1020,5,5/21/2015,0.09
1021,5,10/6/2015,0.06
1022,8,1/2/2018,0.09
1025,8,8/22/2014,0.09
1027,41,5/20/2019,0.47
1028,89,6/28/2019,1.04
1029,40,6/17/2019,0.46
1030,106,6/7/2019,1.22
1031,33,11/25/2018,0.39
1033,19,12/24/2016,0.22
1034,100,6/14/2019,1.14
1035,16,9/25/2018,0.19
1039,4,10/7/2015,0.07
1040,87,6/16/2019,1.0
1042,289,6/24/2019,3.3
1043,10,8/22/2018,0.11
1044,39,5/16/2019,0.45
1045,7,4/17/2017,0.1
1047,22,6/10/2019,0.27
30458,70,7/5/2019,4.63
1055,82,12/15/2018,0.96
1057,73,6/7/2019,0.84
1060,3,8/16/2015,0.06
1061,120,7/1/2019,1.4
1063,7,6/23/2018,0.09
1064,13,4/29/2019,0.15
1067,11,8/16/2018,0.18
1068,67,7/2/2019,1.33
1069,123,7/2/2019,1.47
2000,86,6/21/2019,1.13
1071,23,10/4/2015,0.27
1072,269,6/29/2019,3.15
5065,207,6/30/2019,3.46
1073,7,8/29/2016,0.08
1075,178,7/1/2019,2.06
1077,12,5/28/2019,0.15
1078,23,1/1/2019,0.27
1079,47,6/8/2019,0.55
1080,8,3/28/2019,0.11
1081,17,5/12/2016,0.2
1083,19,12/16/2018,0.22
1085,35,1/1/2018,0.54
1087,182,7/1/2019,2.15
1088,31,6/11/2019,0.41
1092,230,7/1/2019,2.65
1095,154,12/12/2018,1.87
1097,3,6/19/2018,0.05
1098,3,9/1/2013,0.04
1100,13,8/22/2014,0.15
1101,10,5/23/2016,0.17
1102,5,1/4/2019,0.06
1104,10,2/19/2017,0.12
1106,17,7/27/2015,0.2
1107,57,5/5/2019,0.67
1108,70,3/9/2019,0.83
1109,62,1/10/2019,0.74
1235,66,7/3/2019,0.77
1249,60,6/9/2019,0.72
3714,22,5/11/2019,0.34
1110,17,10/11/2018,0.2
1113,134,6/29/2019,1.56
1114,2,5/20/2014,0.03
1115,16,11/4/2017,0.19
1116,31,7/3/2019,1.14
1117,36,1/19/2019,0.42
1119,338,7/7/2019,3.9
4706,257,6/23/2019,4.21
1121,261,6/22/2019,3.24
1122,32,1/31/2017,0.37
2857,12,6/16/2019,0.18
6839,5,1/17/2017,0.15
7747,11,10/7/2018,0.23
11682,2,5/18/2018,0.06
14079,3,5/7/2019,0.08
14147,3,10/15/2018,0.07
1149,2,3/31/2013,0.03
1125,319,7/2/2019,3.78
1126,69,6/20/2019,0.85
1127,10,9/12/2018,0.12
1128,24,2/20/2019,0.39
1129,3,8/12/2017,0.05
1472,114,6/10/2019,1.38
1131,13,8/21/2016,0.15
1327,1,8/10/2012,0.01
1132,58,5/27/2019,0.67
1133,62,6/23/2019,0.74
1134,203,6/27/2019,2.85
7142,24,3/11/2019,0.56
1138,30,3/2/2018,0.35
1139,2,3/29/2017,0.05
1141,27,5/17/2019,0.45
1142,24,10/9/2016,0.3
1143,22,5/11/2019,0.26
1144,162,6/16/2019,1.92
1145,66,5/19/2019,0.76
12337,120,6/22/2019,2.73
1147,63,7/7/2019,0.76
1150,12,7/1/2019,0.27
1154,63,7/6/2019,1.27
1155,162,6/21/2019,1.88
1163,116,7/7/2019,1.37
1165,9,2/23/2019,0.1
1166,4,7/14/2013,0.05
1167,15,6/3/2019,0.29
1168,22,5/26/2019,0.28
1169,18,7/1/2017,0.21
1170,56,7/4/2019,0.65
1171,2,9/3/2014,0.03
1172,57,6/30/2019,0.7
1173,13,11/16/2018,0.17
1178,19,3/22/2019,0.32
1181,169,6/23/2019,2.08
1182,165,6/18/2019,1.92
1183,2,6/23/2016,0.02
1184,1,5/26/2018,0.07
1185,3,9/20/2015,0.04
1186,15,5/9/2016,0.18
1187,60,1/1/2019,0.7
1188,320,6/22/2019,3.85
1189,182,6/11/2019,2.2
1190,1,7/11/2012,0.01
1191,134,7/7/2019,1.56
1194,60,6/2/2019,0.78
1195,5,5/12/2019,0.06
1196,9,8/4/2016,0.1
1197,1,1/4/2013,0.01
1198,33,5/22/2019,0.39
1200,3,8/15/2015,0.04
32033,12,6/15/2019,1.03
1202,62,7/2/2019,0.73
5479,18,6/26/2019,2.57
1203,266,7/4/2019,3.17
1205,3,4/28/2016,0.04
1209,5,5/17/2019,0.1
13934,1,8/7/2016,0.03
1211,19,12/30/2018,0.23
1212,141,6/24/2019,1.66
1213,42,5/27/2019,0.49
1214,119,7/1/2019,1.41
1215,20,6/23/2019,0.24
1216,5,6/28/2015,0.06
1219,24,9/10/2018,0.29
1220,26,6/15/2019,0.32
1224,2,6/28/2014,0.03
1225,194,7/4/2019,2.42
1227,2,10/18/2018,0.1
1229,11,7/8/2014,0.13
1230,19,10/15/2018,0.23
1231,23,6/5/2019,0.27
1233,82,6/21/2019,0.98
1234,92,6/8/2019,1.09
1236,18,10/8/2018,0.35
2991,39,6/22/2019,0.91
1237,153,6/24/2019,2.03
1238,6,6/12/2015,0.09
1240,36,7/2/2019,0.5
1242,160,6/11/2019,2.31
1243,74,5/15/2019,0.87
13888,50,7/1/2019,1.27
1244,47,4/28/2019,0.58
1245,43,9/14/2018,0.51
1246,102,6/13/2019,1.19
1250,22,6/23/2019,1.61
31387,43,6/19/2019,3.33
1251,107,6/21/2019,1.25
1254,16,8/7/2018,0.2
8263,204,6/24/2019,4.05
1258,5,5/16/2016,0.06
1259,63,5/19/2019,0.75
1261,28,6/1/2019,0.4
1263,5,5/25/2015,0.09
1264,16,2/12/2019,0.2
1266,25,6/10/2019,0.3
1267,15,8/10/2017,0.31
1268,45,6/8/2019,0.62
1269,215,6/16/2019,2.55
2973,9,3/30/2019,0.25
36570,4,5/4/2019,0.64
1270,33,6/22/2019,0.51
1370,54,7/1/2019,0.74
1271,46,1/2/2017,0.54
1272,25,6/1/2019,0.3
1274,57,7/2/2019,0.67
1276,22,5/10/2019,0.26
1277,40,4/22/2016,0.54
1278,85,6/23/2019,1.02
1280,29,12/5/2016,0.36
1281,1,9/5/2012,0.01
1282,23,2/15/2017,0.27
1284,195,6/25/2019,2.83
1288,42,5/28/2019,0.49
1289,3,8/17/2015,0.04
1290,32,6/10/2019,0.4
1292,11,5/6/2019,0.13
1293,221,6/23/2019,2.6
19706,13,11/25/2018,0.42
1297,104,6/6/2019,1.32
1301,25,4/15/2014,0.3
1302,4,8/22/2017,0.05
1303,198,6/15/2019,2.33
1304,6,9/14/2012,0.07
1307,4,9/21/2015,0.08
1310,63,5/26/2019,0.75
1312,55,6/1/2017,0.66
1315,61,3/9/2019,0.72
1316,5,6/20/2013,0.06
1318,110,4/2/2019,1.3
1319,160,6/18/2019,1.95
1320,102,6/25/2019,1.23
2422,4,7/1/2015,0.06
1323,34,6/30/2019,0.41
1324,6,10/31/2015,0.07
1326,11,6/21/2019,0.13
1331,8,8/24/2018,0.17
1332,16,4/17/2017,0.27
1334,17,1/1/2017,0.2
1335,12,11/18/2016,0.14
1336,321,6/15/2019,3.93
1339,5,10/11/2015,0.06
1340,61,6/30/2019,0.73
1344,109,6/14/2019,1.51
1346,14,5/20/2019,0.16
1347,250,6/26/2019,2.99
1348,12,5/28/2018,0.25
1349,20,12/30/2018,0.24
1350,27,5/13/2019,0.36
1352,2,12/29/2015,0.05
1353,38,5/6/2019,0.45
1354,5,10/18/2014,0.07
1357,17,12/7/2015,0.21
1359,63,4/18/2019,0.77
3416,34,6/22/2019,0.5
12903,4,11/1/2018,0.09
1360,149,6/29/2019,1.78
1362,7,12/31/2015,0.08
1364,54,6/19/2019,0.65
1365,17,10/18/2015,0.2
1366,103,6/8/2019,1.62
1367,243,6/24/2019,2.95
1371,2,10/31/2015,0.03
1438,3,12/31/2016,0.05
1439,2,6/30/2018,0.04
1440,2,8/15/2016,0.04
1441,3,8/15/2018,0.05
