property_id,name,room_type,price,minimum_nights,availability_365,available_since_date
40586,Room with En Suite Bathroom & Deck,Private room,76,2,275,2019-01-05
2675,Parlor Room In Victorian Townhouse,Private room,70,2,336,2019-06-20
45030,Bedroom with Garden at the Back,Private room,70,2,333,2019-03-05
47919,Huge Private  Floor at The Waverly,Private room,135,4,365,2019-04-23
36487,"The Brooklyn Waverly, One Bedroom",Private room,165,4,365,2019-06-26
28005,Fully Furnished Basement Apartment,Private room,140,2,1,2019-01-01
40048,Sunny Room in Old Historical Brooklyn Townhouse,Private room,44,8,280,2019-04-20
46997,"Very Small Room, Old Historic Brooklyn Townhouse",Private room,40,8,284,2019-03-22
21866,"Quirky, Exposed-Brick Cozy Room Brooklyn Townhouse",Private room,68,8,280,2019-06-28
10599,"Large Room in Brooklyn Townhouse, Great Location",Private room,65,8,0,2019-05-23
46812,Sun Filled Classic West Village Apt,Private room,156,4,307,2019-06-19
20969,Lg Rm in Historic Prospect Heights,Private room,85,15,339,2019-06-14
21429,Classic Artist Loft Williamsburg,Private room,125,3,1,2019-02-07
36196,Private Bdrm/Bathrm. New! Elevator!,Private room,69,2,10,2019-04-02
32384,Indie-Chic Share In Williamsburg,Private room,69,4,53,2019-01-01
30231,Spacious Williamsburg Share w/ LOFT BED,Private room,69,4,60,2019-03-08
8611,"A room w/ a Manhattan view, longer stay",Private room,79,30,126,2019-02-08
22689,Luxurious Condo in DUBMO with View,Private room,250,3,189,2019-05-25
1529,New York room with a view,Private room,70,2,312,2019-06-26
11919,Sunny cozy room in Brklyn townhouse,Private room,50,2,37,2019-06-09
16049,Room with a View,Private room,40,1,353,2019-05-27
9208,Cozy bedroom by Yankee Stadium,Private room,45,1,323,2019-03-25
6349,Master Bedroom by Yankee Stadium,Private room,60,1,355,2019-04-19
18898,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,110,2,321,2019-03-12
47377,ALL ABOUT A VERY COMFORTABLE ROOM..,Private room,95,2,331,2019-06-26
32679,"Fort Greene, Brooklyn: Center Bedroom",Private room,65,2,0,2019-02-20
4237,"Fort Greene, Brooklyn: Front Bedroom",Private room,85,2,161,2019-03-11
40751,Clean and convenient 2BR apartment,Private room,140,7,365,2019-04-12
5361,Couldn't Be Closer To Columbia Uni,Private room,99,4,233,2019-06-16
17801,Couldn't Be Closer To Columbia Uni2,Private room,75,5,201,2019-06-13
48554,SAFE  AND BEAUTIFUL ACCOMODATION,Private room,90,3,343,2019-03-02
14653,Large Room in private Brownstone in Park Slope,Private room,120,3,250,2019-06-11
21159,Sml Rm in pr Brst  Park Sl great for Med/students,Private room,100,2,250,2019-04-01
38480,Sml Rm in pr. Brst in Pk Sl great for Med/students,Private room,100,2,257,2019-01-03
15113,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,75,3,326,2019-02-05
29906,1 Bedroom in 2 Bdrm Apt- Upper East,Private room,130,14,0,2019-02-16
42324,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,Private room,190,3,0,2019-02-22
8054,Lower East Side $57~/night,Private room,83,1,7,2019-04-23
12162,Prime Location in Manhattan,Private room,123,1,328,2019-02-28
24210,( F) Excellent/Pvt Rm,Private room,55,2,365,2019-04-11
47251,(B)  BARGAIN SPACE,Private room,58,2,365,2019-06-02
36774,Big Room/Washer-Dryer/Wifi/AC/JMZ,Private room,80,2,0,2019-06-12
45274,MIDTOWN WEST - Large alcove studio,Shared room,105,6,363,2019-03-03
11615,Beautiful Uptown Manhattan apartmnt,Private room,200,30,365,2019-05-07
40335,City Room - Private & Comfy Bedroom,Private room,64,1,245,2019-06-28
5034,City Room - Private Luxury Suite,Private room,92,1,253,2019-03-21
13354,City Room - Semi Private Bedroom,Private room,55,3,333,2019-03-17
13993,Great apartment with private bathroom and entrance,Private room,100,5,192,2019-03-14
4567,Modern comfort in art infused landmark Brownstone,Private room,71,2,91,2019-06-19
13252,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Private room,130,2,75,2019-06-20
14925,Cozy 2 br in sunny Fort Greene apt,Private room,68,3,0,2019-04-29
32955,PRIVATE Room on Historic Sugar Hill,Private room,60,1,258,2019-01-10
25573,"PRIVATE Room in Spacious, Quiet Apt",Private room,85,1,238,2019-01-22
31547,South Slope Green,Private room,135,2,272,2019-04-22
47610,"17 Flr. Manhattan Views, Nr. Subway",Private room,120,7,341,2019-05-29
24206,Private Room/bath Luxurious Harlem,Private room,175,2,365,2019-02-04
7475,Great room in great location,Private room,80,14,0,2019-04-22
38573,Large room 2blks from central Park,Private room,95,10,63,2019-02-15
10694,Exclusive Room with Private Bath in  LES,Private room,120,4,353,2019-02-01
29240,+Highly Satisfactory LES dwelling++,Private room,115,4,323,2019-03-28
27237,A SpeciaL!! Private Room in NY,Private room,36,2,360,2019-05-24
4019,B NYC Staten Alternative...,Private room,37,2,0,2019-06-21
31122,C Private Room By The Ferry,Private room,37,2,320,2019-02-11
29888,D Private Che@p Room 2 Explore NYC,Private room,36,2,340,2019-01-13
20349,#1  Spacious Private Room,Private room,37,2,341,2019-06-06
3925,Small Room In NY,Private room,35,2,299,2019-05-20
20153,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Private room,59,2,15,2019-05-17
44427,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,69,2,8,2019-06-26
30714,Large and Cozy Private Bedroom,Private room,39,1,365,2019-02-02
1130,SUPER BIG AND COZY PRIVATE BEDROOM,Private room,39,1,365,2019-02-06
1064,Small tidy bedroom in duplex,Private room,60,14,0,2019-05-08
42693,Garden View Bedroom in Brownstone,Private room,60,14,0,2019-05-04
31558,LL3,Private room,90,2,349,2019-06-01
14439,LL2,Private room,75,2,349,2019-02-01
30089,M1 Twin couch bed sleeps 1 guest,Shared room,45,1,365,2019-03-07
27000,M2 A cozy well lit room sleeps 2 on  2 single beds,Private room,70,1,360,2019-01-13
47893,U2 comfortable double bed sleeps 2 guests,Private room,80,1,365,2019-05-18
46664,DOMINIQUE'S NY*Wanderlust room/Metro/Bronx Zoo/Gdn,Private room,75,2,363,2019-01-23
25800,Unique room w/2 Twin beds..wifi*metro* quiet*safe,Private room,75,2,364,2019-04-01
2653,DOMINIQUE'S NY*chic*  quiet room*wifi*metro,Private room,68,2,365,2019-02-23
44958,"Dominique's mini room NYC-sleep, shower & go*wifi",Private room,62,2,320,2019-03-21
11174,**Dominique's NYC couch bed **sleep*shower &  go**,Shared room,45,1,318,2019-03-19
23525,Dominiques unique twin room*NYC-wifi* metro*safe,Private room,75,2,365,2019-02-07
4150,Dominiques Homesharing  room NYC* metro*quiet*safe,Private room,68,2,364,2019-06-08
16537,BEDROOM1 FOR RENT 10min from Manhan,Private room,70,3,281,2019-04-16
37944,BEDROOM2 FOR RENT  10min from Manh,Private room,70,4,189,2019-01-31
21381,LARGE BEDROOM +PRIVATE BATHROOM,Private room,80,2,311,2019-04-14
856,BEDROOM3 FOR RENT  10min from Manh,Private room,70,30,249,2019-02-23
45430,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",Private room,75,7,323,2019-02-01
44018,"HOSTING YOUR COZY,  ECLECTIC MILIEU FOR NYC VISIT",Private room,87,7,310,2019-03-09
23715,Williamsburg near soho. / loftbed,Private room,60,17,362,2019-04-27
9741,Williamsburg near soho .support artist living,Private room,45,15,242,2019-03-10
47663,Williamsburg. Non profit . Artist,Private room,70,20,275,2019-06-24
10382,Greenpoint Williamsburg only  min to the city,Private room,250,29,157,2019-04-29
21815,BROOKLYN  STUDIO APARTMENT,Private room,100,3,301,2019-04-16
47789,cozy bedroom in lovely garden apt,Private room,110,6,0,2019-02-27
18180,Crown Heights Garden Apt.,Private room,60,2,287,2019-06-25
4557,Brooklyn- Crown Heights Garden Apt.,Private room,55,2,275,2019-02-08
22000,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,75,5,68,2019-06-13
39514,"Room in S3rd/Bedford, Williamsburg",Private room,60,3,0,2019-01-31
8294,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Private room,75,3,364,2019-05-08
44389,Private Bedroom Brownstone Brooklyn,Private room,49,21,331,2019-06-17
5648,Private Bedroom Private Bathroom,Private room,52,12,89,2019-05-01
14883,Lower East Side Magic Room,Private room,95,1,364,2019-02-04
16434,SoHa comfort-by NW Central Park!,Private room,122,3,246,2019-03-13
688,Cozy room in Upper West Side,Private room,109,1,364,2019-04-06
47827,Charming bedroom on the Upper West,Private room,105,1,365,2019-02-26
21821,Cozy Private Room in Apartment,Private room,85,30,318,2019-03-07
37030,Bright Beautiful Brooklyn,Private room,125,3,325,2019-06-09
41196,Brooklyn Writer's Nook,Private room,70,5,203,2019-06-10
24691,Private Bedroom in Large NYC Apartment,Private room,90,2,132,2019-05-06
33717,"Large, Sunny Room East Village NYC",Private room,65,3,5,2019-05-20
8446,Large bright bedroom,Private room,43,20,104,2019-04-27
12242,Private room in cozy Greenpoint,Private room,59,3,15,2019-01-16
31883,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Private room,55,2,0,2019-05-31
977,Superior @ Box House,Private room,179,3,79,2019-06-04
10172,Duplex w/ Terrace @ Box House Hotel,Private room,349,3,60,2019-03-06
38790,Loft w/ Terrace @ Box House Hotel,Private room,349,3,60,2019-05-18
15101,Loft w/ Terrace @ Box House Hotel,Private room,249,3,60,2019-03-09
2982,Superior @ Box House,Private room,179,3,81,2019-01-23
26737,2 BR w/ Terrace @ Box House Hotel,Private room,599,3,60,2019-06-23
10434,Duplex w/ Terrace @ Box House Hotel,Private room,349,3,58,2019-04-01
23610,Loft w/ Terrace @ Box House Hotel,Private room,249,3,60,2019-01-27
42414,1 BR w/ Terrace @ Box House Hotel,Private room,299,3,60,2019-01-16
273,Superior @ Box House,Private room,179,3,81,2019-06-23
33636,2 BR Duplex @ Box House Hotel,Private room,599,3,60,2019-03-05
19834,Hells Kitchen Garden of Eden,Private room,150,3,49,2019-03-16
35616,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Private room,120,14,343,2019-04-27
11869,Williamsburg HUGE SUNNY next2train!,Private room,135,28,310,2019-02-05
31486,"HUGE, SUNNY ROOM, BLOCK 4RM TRAIN!",Private room,100,20,214,2019-06-14
40835,"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",Private room,75,18,112,2019-02-19
36621,Williamsburg COZY SUNNY next2train!,Private room,100,20,240,2019-02-10
18323,"HUGE, PRIVATE BATH, STEPS FRM TRAIN",Private room,140,5,185,2019-03-24
14438,Cozy room in East Village with AC,Private room,71,2,200,2019-03-19
31534,Columbia Castle in Brooklyn Heights,Private room,100,3,0,2019-01-20
32064,Huge.Bright.Clean.Safe. Private Room,Private room,95,3,60,2019-03-17
31616,Comfortable. Spacious. Private Room.,Private room,95,3,64,2019-05-11
9520,Great room in a spacious apartment DT Manhattan,Private room,69,1,187,2019-01-05
45755,"Modern, Safe, Clean, Bright Room in Astoria for 2",Private room,80,1,365,2019-01-09
43117,Comfortable Cozy Space in El Barrio,Shared room,65,7,0,2019-01-04
37633,Sunny Bedroom in El Barrio,Private room,80,7,121,2019-03-02
29450,"MANHATTAN Neat, Nice, Bright ROOM",Private room,67,2,296,2019-05-04
12786,Bienvenue,Private room,50,1,88,2019-01-24
17506,Colorful Artistic Williamsburg Apt,Private room,100,3,0,2019-04-18
29032,Oceanfront Apartment in Rockaway,Private room,70,27,335,2019-01-25
43980,Bright Room With A Great River View,Private room,60,3,247,2019-06-02
5024,A Room WIth A View,Private room,65,2,114,2019-03-27
10743,Cozy Private Room in West Harlem!,Private room,90,1,0,2019-06-20
16169,Cozy room in Time Square!,Private room,85,10,174,2019-01-17
24782,Sun-Drenched Hamilton Hts Jewel   ,Private room,65,14,283,2019-04-23
23843,Heart of Meatpacking & Chelsea,Private room,290,2,20,2019-03-25
46006,Spacious East Village apt near it all,Private room,87,2,0,2019-06-24
37909,"Sunny, Large, Park Slope Bedroom",Private room,105,1,252,2019-02-28
47695,Beautiful Large Apartment in NYC,Private room,89,14,0,2019-02-14
27062,Authentic New York City Living ,Private room,99,2,307,2019-01-18
24193,Gorgeous Upper West Side Apartment,Private room,85,1,0,2019-04-04
39776,Large suite with private bathroom (15 min to city),Private room,50,3,220,2019-05-04
84,Midtown cozy convenient,Private room,130,4,193,2019-02-09
41515,"Private, spacious room in Brooklyn",Private room,50,2,136,2019-05-02
29518,Private Cozy Bedroom in Brooklyn,Private room,47,2,0,2019-03-29
35493,Brooklyn B & B close to Manhattan,Private room,130,3,305,2019-01-08
26614,Holiday Time in NY - Oh My!!,Private room,79,2,0,2019-03-19
5261,1 Bdrm in 4 Bdrm dupelx/roof deck,Private room,96,1,0,2019-06-13
9760,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",Private room,98,2,0,2019-02-03
38470,"2 private BRs, private bath - Like your OWN APT",Private room,146,2,88,2019-04-16
30910,"BIG, COMFY, PRIV. room, Big apt, yard, Will-B dplx",Private room,98,2,273,2019-05-21
29927,CHARMING PRIVATE BEDROOM EAST VILLAGE,Private room,95,7,359,2019-03-09
30521,A cozy Red Room with private bathroom,Private room,160,3,359,2019-02-07
37563,Cozy room with private bathroom & outside garden,Private room,180,3,348,2019-05-07
18341,Female Only Clean15min to Manhattan,Private room,42,40,236,2019-05-21
41732,Sunny 15min to Manhattan LADY only,Private room,42,40,246,2019-03-19
44207,Lady only Curtain-divided room,Private room,33,44,161,2019-02-06
36353,Private E. Village Townhouse Stay,Private room,175,3,236,2019-05-22
25231,Harlem/Hamilton Heights Cozy Room,Private room,75,3,365,2019-02-17
15889,Large Sunny Bedroom with Bay Window,Private room,75,3,301,2019-06-23
18174,Harlem/Hamilton Heights Sunny Room,Private room,75,3,322,2019-01-08
29610,Hancock Town House!-Stuyvesant Mews,Private room,165,1,311,2019-05-11
17318,HANCOCK VERY SMALL ROOM,Private room,100,1,281,2019-04-04
14952,Hancock Town House!-Stuyvesant Mews,Private room,165,1,0,2019-05-18
14259,HANCOCK MASTER BEDROOM,Private room,165,1,342,2019-06-17
29918,Clinton Hill + Free Coffee = #smile,Private room,75,3,365,2019-06-06
8472,"Chelsea living, 2BR best location",Private room,150,2,0,2019-04-15
41948,Surfer room 15mins to downtown NYC!,Private room,90,6,0,2019-03-28
5979,Blue Room in Awesome Artist's Apartment!,Private room,89,3,0,2019-03-30
26168,ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!,Private room,123,3,158,2019-06-26
29247,Large Quiet Bedroom Near Columbia U,Private room,89,5,247,2019-06-06
34905,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",Private room,140,2,221,2019-02-23
45749,LG Private Room/Family Friendly,Private room,60,3,0,2019-02-14
4369,Spacious Quiet rm - 20mins to Midtown,Private room,75,2,222,2019-04-22
20873,Gorgeous 1 bdrm in huge duplex!,Private room,170,2,88,2019-06-26
11145,Modern Space in Charming Pre-war,Private room,65,2,59,2019-03-21
20683,Modern Space in Charming Pre-war #2,Private room,65,2,68,2019-03-08
22695, Affordable & Cozy ,Private room,37,4,232,2019-04-29
45341,Sunny Shared Vintage Loft,Shared room,125,1,156,2019-04-15
24361,Very close to Downtown Awesome Room,Private room,72,1,335,2019-02-01
2839,"Sunny, cozy room in Lower East Side",Private room,115,3,337,2019-04-12
33279,Sunny Room in Lower East Side Apt!,Private room,115,3,339,2019-05-03
41197,Cozy Pre-War Harlem Apartment,Shared room,49,3,248,2019-04-02
37499,spacious studio,Private room,91,3,287,2019-03-18
11224,East Village bedroom w rooftop,Private room,100,4,43,2019-01-23
11176,Prime location and room for 1,Private room,100,2,342,2019-04-18
17383,High-end doorman bldg in the LES,Private room,120,2,345,2019-04-16
45212,Clean cozy room central historic gay best area,Private room,120,21,34,2019-03-30
2377,Experience New York - A Locals Way,Private room,85,2,339,2019-05-01
27344,Williamsburg bedroom by Bedford Ave,Private room,70,2,37,2019-06-22
5544,Clean and bright with a comfortable atmosphere,Private room,75,4,0,2019-01-31
46244,WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,Private room,100,30,359,2019-01-10
4128,Hell's Kitchen Funky 80's Hideaway!,Private room,99,1,353,2019-06-20
21249,Room in Chic Modern High Line Luxury- New!,Private room,255,4,365,2019-02-12
38494,Sun-drenched East Village Penthouse,Private room,110,3,274,2019-01-06
15265,Columbus Circle Luxury Bldg - Private Room&Bath,Private room,150,28,258,2019-02-20
22877,Lincoln Center Luxury Sunny & Modern Br,Private room,129,28,261,2019-02-19
18348,Bright Private Bedroom in Williamsburg (Bedford L),Private room,65,30,276,2019-03-23
16821,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",Private room,75,2,65,2019-04-18
33458,Beautiful Downtown Manhattan Share,Shared room,50,1,0,2019-01-04
45476,Large Room Overlooking Central Park,Private room,89,6,180,2019-01-24
7655,"Cheerful, comfortable room",Private room,50,1,343,2019-04-07
33973,Hospitality on Propsect Pk-12 yrs Hosting Legally!,Private room,43,1,43,2019-04-06
33883,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",Private room,42,1,96,2019-02-04
4249,Loft Style Apt in Williamsburg,Private room,85,1,59,2019-03-13
33949,Large room in elevator drman bldg,Private room,68,2,188,2019-01-14
14533,Small room with private bath in New York,Private room,45,2,197,2019-06-11
8396,Modern Bedroom in Hamilton Heights,Private room,75,3,38,2019-01-27
24076,Sunny Space in Williamsburg,Private room,100,2,254,2019-06-25
5122,Best Manhattan Studio Deal!   ,Shared room,90,1,0,2019-03-15
40056,Cozy and spacious - rare for NYC!,Private room,67,4,0,2019-02-04
31549,Lovely HUGE Master Bed + Study,Private room,75,3,0,2019-06-10
10092,"Great, spacious apt in Williamsburg",Private room,100,6,249,2019-04-11
43987,Modern Condo in Midtown,Private room,150,1,111,2019-02-05
13140,"A Cozy Oasis in Bushwick, NY",Private room,41,2,286,2019-04-29
34494,Yankee Stadium Oasis 2 stops to Manhattan!,Private room,50,3,276,2019-05-06
14972,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,Private room,50,5,271,2019-04-23
1179,"Charming Bk Crash Pad, relax & unwind with ease",Private room,57,1,16,2019-05-09
35777,Sunnyside NYC/ AC room/ city views/ near Midtown,Private room,50,28,287,2019-04-25
36086,2-bedroom share in heart of Greenwich Village!,Private room,80,90,338,2019-03-24
44483,CreaTive Live-In Artspace/Birdsnest,Private room,40,1,5,2019-03-18
32190,RARE Penthouse Oasis featured on DesignSponge,Private room,200,30,0,2019-05-27
40493,New Clean Spacious Bed & Breakfast,Private room,80,2,158,2019-01-22
39479,"Sunny, calm room in Victorian home",Private room,79,3,192,2019-03-23
38808,Charming room in Victorian home,Private room,79,3,264,2019-05-12
25915,Large comfy room in Victorian home,Private room,89,5,282,2019-01-10
10098,Family Friendly Room & Bathroom on Central Park W,Private room,120,3,0,2019-05-19
41085,Private Bedroom with En Suite Bath on Central Park,Private room,90,2,181,2019-03-03
20650,Your Haven in the Upper West Side,Private room,80,7,285,2019-06-02
47446,"Lovely Bdr in Harlem, Manhattan",Private room,100,1,84,2019-02-02
25987,THE BEST DEAL ON THE HUDSON RIVER!!,Private room,55,4,260,2019-06-24
17478,1 Bedroom in prime Flatiron,Private room,250,2,0,2019-05-27
6103,Gorgeous PermaGO Private Room in FiDi - 1/2,Private room,150,3,90,2019-05-30
25175,Gorgeous PermaGO HOMES™ - FiDi - Room 2/2,Private room,160,3,352,2019-02-10
26183,Artsy Loft-like Harlem Apartment,Private room,69,1,86,2019-03-02
25862,Harlem/Manhattan Classic Apartment,Private room,300,55,83,2019-05-20
38752,The Notorious B.N.B. { The Erhart },Private room,239,1,356,2019-04-09
21420,The Notorious B.N.B. { The Wallace },Private room,438,1,363,2019-04-15
3694,The Notorious B.N.B. { The Swoon },Private room,279,1,362,2019-05-22
18167,The Notorious B.N.B. { The Pfizer },Private room,239,1,363,2019-05-12
34304,The Notorious B.N.B. { The Erhart II },Private room,199,1,363,2019-02-14
40024,Artist's Studio in Mansion,Private room,179,1,365,2019-02-07
10795,The Notorious B.N.B. { The William Henry },Private room,259,1,365,2019-03-14
41272,The Notorious B.N.B. {Custom},Private room,199,1,365,2019-05-24
21233,The Notorious B.N.B. { The Shasha },Private room,319,1,365,2019-03-28
